,,,Before,,,,,,,,,,,After,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 MemoryPooling before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 MemoryPooling After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.06922,0.00699997,0.498,0.00699997,0.498,0.0626941,,,,Monster,100,0.07282,0.00600004,0.294,0.00600004,0.294,0.0523768
Room,100,0.31092,0.0209999,1.556,0.0210004,1.556,0.191374,,,,Room,100,0.34583,0.0249996,4.953,0.0249996,4.953,0.486426
Projectile,100,0.00706001,0,0.0290003,0,0.0290003,0.00563886,,,,Projectile,100,0.00693999,0,0.0289998,0,0.0289998,0.00541261
Field,100,0.02116,0,0.0609999,0,0.0609999,0.0178761,,,,Field,100,0.02667,0,0.103,0,0.103,0.0244369
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 MemoryPooling before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 MemoryPooling After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.03235,0.00600004,0.159,0.00699997,0.159,0.0190438,,,,Monster,100,0.03126,0.00700045,0.125,0.0079999,0.125,0.0187939
Room,100,0.30983,0.175,0.618,0.185,0.618,0.106598,,,,Room,100,0.30093,0.177,1.018,0.178,1.018,0.120227
Projectile,100,0.01387,0.00600004,0.182,0.00600004,0.182,0.0178357,,,,Projectile,100,0.00901998,0.00300026,0.0229998,0.00300026,0.0229998,0.00337037
Field,100,0.04113,0.0140004,0.0819998,0.0159998,0.0819998,0.0159102,,,,Field,100,0.0494599,0.026,0.139,0.0279999,0.139,0.0141219
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 MemoryPooling before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 MemoryPooling After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.02999,0.00500011,0.066,0.00600004,0.066,0.0137044,,,,Monster,100,0.03295,0.0079999,0.222,0.0079999,0.222,0.0231808
Room,100,0.29695,0.175,0.965,0.177,0.965,0.114107,,,,Room,100,0.27535,0.166,0.66,0.169,0.66,0.0983756
Projectile,100,0.01419,0.00600004,0.0499997,0.0079999,0.0499997,0.00670028,,,,Projectile,100,0.01014,0.00199986,0.0240002,0.00199986,0.0240002,0.00370951
Field,100,0.02694,0.00999975,0.0669999,0.0120001,0.0669999,0.0088711,,,,Field,100,0.03233,0.0139999,0.0869999,0.0159998,0.0869999,0.0111661
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 MemoryPooling before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 MemoryPooling After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.03311,0.0119996,0.105,0.013,0.105,0.0126301,,,,Monster,100,0.03249,0.0139999,0.086,0.0139999,0.086,0.0111378
Room,100,0.28823,0.162,0.677,0.164,0.677,0.100759,,,,Room,100,0.27086,0.162,0.632,0.165,0.632,0.0932251
Projectile,100,0.01281,0.00500011,0.0319996,0.00599957,0.0319996,0.00460799,,,,Projectile,100,0.00915003,0.00299978,0.0219998,0.00300026,0.0219998,0.00385065
Field,100,0.0203,0.00699997,0.0639997,0.0079999,0.0639997,0.00838512,,,,Field,100,0.0316,0.013,0.183,0.0139999,0.183,0.0188446
======================================,,,,,,,,,,,======================================,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 200Room&20Player Before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 200Room&25Player After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.11109,0.00500011,2.368,0.00600004,2.368,0.265325,,,,Monster,100,0.06609,0.00500011,0.507,0.00600004,0.507,0.0808365
Room,100,1.28709,0.0190001,5.542,0.0610003,5.542,1.14803,,,,Room,100,1.19738,0.0479999,10.314,0.0510001,10.314,1.19776
Projectile,100,0.01218,0,0.0739999,0,0.0739999,0.0125079,,,,Projectile,100,0.0115,0,0.0749998,0,0.0749998,0.0121955
Field,100,0.14784,0,0.97,0,0.97,0.177049,,,,Field,100,0.20362,0,7.547,0,7.547,0.749839
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 200Room&20Player Before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 200Room&25Player After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.04542,0.0120001,0.273,0.0140004,0.273,0.0439832,,,,Monster,100,0.02542,0.00600004,0.0779996,0.00600004,0.0779996,0.0163317
Room,100,2.03985,0.855,13.999,0.869,13.999,1.66594,,,,Room,100,1.70628,1.271,5.747,1.326,5.747,0.587458
Projectile,100,0.00968998,0.000999928,0.0449996,0.0010004,0.0449996,0.00786091,,,,Projectile,100,0.01096,0,0.052,0,0.052,0.00826912
Field,100,0.14219,0.0420003,0.881,0.0549998,0.881,0.115009,,,,Field,100,0.13633,0.0440001,0.302,0.0469999,0.302,0.0507417
======================================,,,,,,,,,,,======================================,,,,,,,
